City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1634390'],['160139602002'],[5.0],[8.932280993542532],[4.337196807888106],[4.534798824618143],[3.4932017533801503],[0.6637549013473871],[0.5493719188076714],[0.6131726793661837],[-99999.0],[12.0],[14.0],[1.0],[1.0]
['1634390'],['160139602003'],[12.166666666666668],[115.96084280703246],[45.883951854959996],[35.41717744482405],[29.288605586257603],[0.6620444983412698],[0.5933724780589347],[2.4518135997564805],[0.0],[13.0],[14.0],[3.0],[20.0]
['1606220'],['160139602003'],[12.166666666666668],[48.9702588863311],[19.376790877627844],[14.956672498339053],[12.368576868360746],[0.6620444983412698],[0.5933724780589347],[2.4518135997564805],[0.0],[13.0],[14.0],[3.0],[20.0]
['1634390'],['160139602001'],[16.0],[674.1731746855149],[398.44507506165996],[526.8101121304937],[347.61252038240184],[0.9568649418007691],[0.8982354567366916],[60.98205287784664],[333.94],[20.0],[20.0],[11.0],[17.0]
['1606220'],['160139601002'],[4.499999999999999],[1.0094198415112874],[0.4070355870414973],[0.8027054334326211],[0.4816232600595727],[0.5663387781358173],[0.5993627936678546],[0.5691444364820145],[-99999.0],[13.0],[10.0],[1.0],[1.0]
['1612790'],['160139601001'],[5.5],[3.652195711387237],[1.3135581201231703],[1.226734449070253],[0.9550603815820918],[0.693822696344325],[0.6201791322490829],[0.1369998387971801],[-99999.0],[14.0],[15.0],[1.0],[1.0]
['1634390'],['160139601004'],[18.333333333333336],[567.7794819100009],[398.7383051592125],[234.6689277246238],[205.8324916906658],[0.9041037863305716],[0.933998979878349],[164.439105474487],[378.2],[20.0],[20.0],[18.0],[17.0]
['1678850'],['160139605002'],[9.333333333333334],[86.16944216985243],[19.09664931446963],[164.49920725271207],[33.97193404363545],[0.4668844999651383],[0.665743936579349],[1.2829884870047734],[615.57],[15.0],[7.0],[2.0],[15.0]
['1643030'],['160139603002'],[6.333333333333332],[1.0589231483494395],[0.23518224820972744],[1.6655727424494031],[0.43177048645683297],[0.7974993032917497],[0.6511154319843135],[0.47021008110796503],[-99999.0],[15.0],[19.0],[1.0],[1.0]
['1673450'],['160119501002'],[5.999999999999999],[431.6496965205906],[267.7913518544228],[133.58356479451393],[133.58356479451393],[0.425721899932832],[0.6913757579944011],[19.73032329130412],[-99999.0],[16.0],[6.0],[6.0],[1.0]
['1600100'],['160119503004'],[10.5],[1391.9999461487596],[415.9999839065258],[505.9999804247646],[430.99998332623227],[0.6941720644657282],[0.6910976488022222],[114.13117889126194],[-99999.0],[16.0],[15.0],[15.0],[1.0]
['1607840'],['160119504002'],[7.333333333333333],[1071.4590654323836],[405.3800540553095],[452.4696562940576],[417.6642981175916],[0.5978469092903964],[0.5223377165650342],[56.461288979158695],[-99999.0],[11.0],[11.0],[10.0],[1.0]
['1607840'],['160119504004'],[7.666666666666667],[871.9999999999999],[619.9999999999999],[368.99999999999994],[368.99999999999994],[0.4685463540765222],[0.23020577192854275],[147.09896583308887],[-99999.0],[3.0],[7.0],[17.0],[1.0]
['1607840'],['160119504005'],[7.166666666666667],[1802.9999539597577],[519.9999867216162],[552.9999858789495],[481.99998769195963],[0.4608761554950566],[0.5726015887869291],[61.02701889410827],[-99999.0],[12.0],[7.0],[11.0],[1.0]
['1607840'],['160119505002'],[11.666666666666668],[1477.9999965822012],[826.9999980876051],[747.9999982702885],[657.9999984784089],[0.8886818615508818],[0.930594844426192],[92.32729483130288],[-99999.0],[20.0],[20.0],[14.0],[1.0]
['1607840'],['160119505003'],[10.000000000000002],[2243.0443322069377],[755.1909083543882],[732.6625154981613],[614.1435791675764],[0.837924484203087],[0.5504891365699182],[85.78442126333547],[-99999.0],[12.0],[20.0],[13.0],[1.0]
['1607840'],['160119506004'],[3.9999999999999996],[12.76269286180857],[6.007685841414072],[4.318934086315448],[3.979242641324345],[0.24616091823110525],[0.5440854623041008],[7.153433150050732],[-99999.0],[11.0],[3.0],[4.0],[1.0]
['1632500'],['160299601004'],[4.833333333333333],[4.691079605370979],[1.6414755394437046],[2.019658629413578],[1.822520635705878],[0.6729638476653914],[0.5390239664246536],[0.9673170830700645],[-99999.0],[11.0],[14.0],[1.0],[1.0]
['1675195'],['160299602001'],[6.499999999999999],[0.5059126720461375],[0.29537758492134736],[0.35948080547874617],[0.19293812461883755],[0.7056840573690712],[0.8478310036406222],[0.32517412992039224],[-99999.0],[19.0],[16.0],[1.0],[1.0]
['1604420'],['160299601005'],[4.166666666666667],[1.1496507949145898],[0.45181430971071357],[0.5864302170560289],[0.4750239489081817],[0.5609232681920603],[0.543575797174093],[0.6252260499866555],[-99999.0],[11.0],[10.0],[1.0],[1.0]
['1632500'],['160299601003'],[5.166666666666666],[5.765387277243265],[2.0291300966893404],[2.6935807580737596],[2.1313532753638667],[0.7262155037384592],[0.44854878265668763],[1.1467962591619318],[-99999.0],[9.0],[16.0],[2.0],[1.0]
